cb_code,treatcond_keywords
UE003,Acid Reflux | Burning in Chest | Burning in Throat | Chest Pain | Digestive Problems | Eating Difficulty | Esophagitis | Gastroesophageal Reflux Disease | GERD | Nausea | Reflux | Regurgitation | Scope | Sour Stomach | Stomach Ache | Stomach Disorder | Stomach Pain | Stomach Upset | Upset Stomach | Difficulty Swallowing | Burping
UE004,Endoscopic Retrograde Cholangiopancreatography | Gallstones | Bile Ducts | Pancreatitis | Pancreas
US001,Abdominal Scan | Abdominal Sonogram | Abdominal Ultrasound | Sonogram of Abdomen
US002,Breast Sonogram | Breast Ultrasound | Sonogram of Breast
US003,Pelvic Ultrasound | Pelvic Sonogram | Sonogram of Pelvis
US004,Rear of Abdomen Ultrasound | Retroperitoneal Ultrasound | Sonogram of Rear of Abdomen
US005,Pregnancy Ultrasound | Pregnancy Evaluation | Sonogram of Pregnant Uterus
US006,Pelvic Ultrasound via Vagina | Sonogram of Pelvis via Vagina
US007,blank condition
US008,blank condition
VA001,Flu Vaccine | Flu Shot | Immunization Flu | Immunization Influenza | Influenza Shot | Influenza Vaccine | Vaccine Flu | Vaccine Influenza | Seasonal Flu Shot
VA002,Flu Vaccine | Flu Shot | Immunization Flu | Immunization Influenza | Influenza Shot | Influenza Vaccine | Vaccine Flu | Vaccine Influenza | Seasonal Flu Shot
VA003,HPV Immunization | HPV Shot | HPV Vaccine |  Human Papilloma Immunization | Human Papilloma Vaccine | Human Papilloma Shot | Cervarix | Gardasil | Immunization Human Papilloma Virus | Immunization HPV | Vaccine HPV
VA004,Zostavax | Shingles Immunization | Shingles Shot | Shingles Vaccine | Vaccine Shingles
VA005,Pneumonia Shot | Pneumonia Immunization | Immunization Pneumonia | Vaccine Pneumonia | Pneumococcal Conjugate Vaccine
VA006,Hepatitis A Vaccine | Hepatitis A Shot | Hepatitis A Immunization | Immunization Hepatitis A | Vaccine Hepatitis A
VA007,Hepatitis A Vaccine | Hepatitis A Shot | Hepatitis A Immunization | Immunization Hepatitis A | Vaccine Hepatitis A
VA008,Hepatitis B Vaccine | Hepatitis B Shot | Hepatitis B Immunization | Immunization Hepatitis B | Vaccine Hepatitis B
VA009,Hepatitis B Vaccine | Hepatitis B Shot | Hepatitis B Immunization | Immunization Hepatitis B | Vaccine Hepatitis B
VA010,MMR Vaccine | MMR Shot | MMR Immunization | Immunization MMR | Measles Vaccine | Measles Shot | Measles Immunization | Immunization Measles | Mumps Vaccine | Mumps Shot | Mumps Immunization | Immunization Mumps | Rubella Vaccine | Rubella Shot | Rubella Immunization | Immunization Rubella | Vaccine MMR | Vaccine Measles | Vaccine Mumps | Vaccine Rubella
VA011,Chickenpox Vaccine | Chickenpox Shot | Chickenpox Immunization | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Chicken Pox Vaccine | Chicken Pox Shot | Chicken Pox Immunization | Immunization Chicken Pox | Varicella Vaccine
VA012,DTaP Vaccine | DTaP Shot | DTaP Immunization | Immunization DTaP | Diphtheria Vaccine | Diphtheria Shot | Diphtheria Immunization | Immunization Diphtheria | Tetanus Vaccine | Tetanus Shot | Tetanus Immunization | Immunization Tetanus | Pertussis Vaccine | Pertussis Shot | Pertussis Immunization | Immunization Pertussis | Vaccine DTaP  | Vaccine Diptheria | Vaccine Tetanus | Vaccine Pertussis
VA013,Hib Vaccine | Hib Shot | Hib Immunization | Immunization Hib | Haemophilus Influenza Vaccine | Haemophilus Influenza Shot | Haemophilus Influenza Immunization | Immunization Haemophilus Influenza | Vaccine Hib | Vaccine Haemophilus Influenza
VA014,Meningococcal Vaccine | Meningococcal Shot | Meningococcal Immunization | Immunization Meningococcal | Vaccine Meningococcal | Immunization Meningitis | Meningitis Immunization | Meningitis Shot | Meningitis Vaccine | Vaccine Meningitis | Meningococcal Conjugate Vaccine
VA015,Polio Vaccine | Polio Shot | Polio Immunization | Immunization Polio | Vaccine Polio
VA016,Rotavirus Vaccine | Rotavirus Shot | Rotavirus Immunization | Immunization Rotavirus | Vaccine Rotavirus
VA017,TdaP Vaccine | TdaP Shot | TdaP Immunization | Immunization TdaP | Diphtheria Vaccine | Diphtheria Shot | Diphtheria Immunization | Immunization Diphtheria | Tetanus Vaccine | Tetanus Shot | Tetanus Immunization | Immunization Tetanus | Pertussis Vaccine | Pertussis Shot | Pertussis Immunization | Immunization Pertussis | Vaccine TdaP | Vaccine Diptheria | Vaccine Tetanus | Vaccine Pertussis
VA018,Tetanus Vaccine | Tetanus Shot | Tetanus Immunization | Immunization Tetanus | Vaccine Tetanus | Vaccine Td | Td Immunization | Td Shot | Td Vaccine | Immunization Td
VA019,Flu Vaccine | Flu Shot | Immunization Flu | Immunization Influenza | Influenza Shot | Influenza Vaccine | Vaccine Flu | Vaccine Influenza | Seasonal Flu Shot
VH001,Viral Hepatitis | Viral Infection | Hep B
VY001,Sterilization | Male Sterilization | Vas Deferens | Cut Tubes
WS001,CTS | Carpal Tunnel Syndrome | Carpal Tunnel Release | Release of Carpal Tunnel | Release of Median Nerve | Median Nerve | Transverse Carpal Ligament 
WS002,Ganglion Cyst | Wrist
XR001,Chest X-ray | Chest Xray
XR002,Abdominal X-ray | Abdominal Xray
XR008,Hip X-ray | Hip Xray
XR009,Finger X-ray | Finger Xray
XR010,DXA scan | DEXA scan | Bone Density Study
XR011,Breast Mammography | Film Mammogram | Cancer Screening | Preventive Screening | Screening Mammogram - Film
XR013,Ankle X-ray | Ankle Xray
XR014,Chest X-ray | Chest Xray
XR015,Foot X-ray | Foot Xray
XR016,Hand X-ray | Hand Xray
XR019,Shoulder X-ray | Shoulder Xray
XR020,Wrist X-ray | Wrist Xray
XR021,Myocardial Perfusion Study | Heart Perfusion Study | Heart Muscle Damage | Cardiac Perfusion Scan
XR022,PET and CT Scan
XR023,Knee X-ray | Knee Xray
XR024,Neck X-ray | Neck Xray
XR025,Lower Back X-ray | Lower Back Xray 
XR026,Breast Mammography | Digital Mammogram | Cancer Screening | Preventive Screening | Screening Mammogram - Digital
XR027,Breast Mammography | Digital Mammogram | Diagnostic Mammogram | Lump
XR028,Breast Mammography | Film Mammogram | Diagnostic Mammogram | Lump
XR029,Hepatobiliary Scan | Liver Problems | Bile Ducts | Gallbladder Problems | Cholescintigraphy | Hepatobiliary Scintigraphy 
XR031,blank condition
XR032,blank condition
XR033,blank condition
XR034,Carpal tunnel surgery | Carpal tunnel syndrome surgery
XR035,Heart bypass surgery | CABG
XR036,blank condition
XR037,blank condition
XR038,blank condition
XR039,blank condition
XR040,blank condition
XR041,blank condition
XR042,blank condition
XR043,blank condition
XR044,blank condition
XR045,blank condition
XR046,blank condition
XR047,blank condition
XR048,blank condition
XR049,blank condition
XR050,blank condition
XR051,blank condition
XR052,blank condition
XR053,blank condition
XR054,blank condition
XR055,blank condition
XR056,blank condition
XR057,blank condition
XR058,blank condition
XR059,blank condition
XR060,blank condition
XR061,blank condition
XR062,blank condition
XR063,blank condition
XR064,blank condition
XR065,blank condition
XR066,blank condition
XR067,blank condition
XR068,blank condition
XR069,blank condition
XR070,blank condition
XR071,blank condition
XR072,blank condition
XR073,blank condition
XR074,blank condition
XR075,blank condition
XR076,blank condition
XR077,blank condition
XR078,blank condition
XR079,blank condition
XR080,blank condition
XR081,blank condition
XR082,blank condition
XR083,blank condition
XR084,blank condition
XR085,blank condition
XR086,blank condition
XR087,blank condition
XR088,blank condition
XR089,blank condition
XR090,blank condition
XR091,blank condition
XR092,blank condition
XR093,blank condition
XR094,blank condition
XR095,blank condition
XR096,blank condition
