cb_code,cb_step_code,cb_step_name,cb_step_desc,service_category,provider_type,icd9,icd10
HY008,HY008_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,626.2,N92.0
HY008,HY008_2,Laparoscopy with Uterus Exam and Ablation,Surgery to examine the inside lining of the uterus and treat any abnormal bleeding,Outpatient,F,626.2,N92.0
HY008,HY008_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,626.2,N92.0
HY009,HY009_1,Office Visit,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,626.2,N92.0
HY010,HY010_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,625.6,N39.3
HY010,HY010_2,Placement of Sling for Stress Incontinence,Surgery to place a sling under the urethra to prevent leakage of urine,Outpatient,F,625.6,N39.3
HY010,HY010_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,625.6,N39.3
HY011,HY011_1,Office Visit,A visit with a specialist for a detailed evaluation and colposcopy with cervical biopsy,Office ,P,,
HY012,HY012_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,620.2,N83.20
HY012,HY012_2,Aspiration of Ovary Cyst,Surgery to remove the contents of a cyst on an ovary,Outpatient,F,620.2,N83.20
HY012,HY012_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,620.2,N83.20
HY013,HY013_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,620.2,N83.20
HY013,HY013_2,Removal of Ovary Cyst,Surgery to remove a cyst on an ovary,Outpatient,F,620.2,N83.20
HY013,HY013_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,620.2,N83.20
HY014,HY014_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,618.4,N81.4
HY014,HY014_2,Fitting and Insertion of Pessary,The fitting and insertion of a uterine support device - pessary,Office ,P,618.4,N81.4
HY014,HY014_3,Follow-up Office Visit,A follow up office visit after the insertion of a pessary,Office ,P,618.4,N81.4
IF001,IF001_1,Office Visit,A visit with a primary care physician to evaluate your flu symptoms and determine the best course of treatment ,Office ,P,487.1,J11.1
IN002,IN002_1,Office Visit with Specialist for Evaluation,A visit with a physician for a moderate problem,Clinic,P,726.6,M70.50
IN002,IN002_2,Knee Injection,The injection of a specific medication into the knee joint to decrease swelling and pain,Clinic,P,726.6,M70.50
IN002,IN002_3,Follow-up Office Visit,A doctor checkup after your surgery,Clinic,P,726.6,M70.50
IT001,IT001_1,Office Visit and Ingrown Toenail Removal,A visit with a primary care physician to evaluate and remove your ingrown toenail,Office ,P,703,L60.0
KA001,KA001_1,Initial Office Visit with PCP ,A visit with a primary care physician to evaluate your knee pain and determine the best course of treatment,Office ,P,836,S83.249A
KA001,KA001_2,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,836,S83.249A
KA001,KA001_3,Knee MRI,An imaging process that uses magnets to create detailed pictures of structures in your knee,Radiology,F,836,S83.249A
KA001,KA001_4,Repair or Removal of Meniscus,Surgery that uses small medical instruments and a camera to repair or remove a torn meniscus in the knee,Outpatient,F,836,S83.249A
KA001,KA001_5,Physical Therapy,An exercise program guided by a professional who understands the special needs of people with knee problems,Physical Therapy,F,836,S83.249A
KA001,KA001_6,Follow-up Office Visit,A checkup after your procedure,Office ,P,836,S83.249A
KA002,KA002_1,Initial Office Visit with PCP ,A visit with a primary care physician to evaluate your knee pain and determine the best course of treatment,Office ,P,844.2,S83.519A
KA002,KA002_2,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,844.2,S83.519A
KA002,KA002_3,Knee MRI,An imaging process that uses magnets to create detailed pictures of structures in your knee,Radiology,F,844.2,S83.519A
KA002,KA002_4,Reconstruction of Torn Anterior Cruciate Ligament,Surgery that uses small medical instruments and a camera to repair a torn ligament in the knee,Outpatient,F,844.2,S83.519A
KA002,KA002_5,Physical Therapy,An exercise program guided by a professional who understands the special needs of people with knee problems,Physical Therapy,F,844.2,S83.519A
KA002,KA002_6,Follow-up Office Visit,A checkup after your procedure,Office ,P,844.2,S83.519A
KI001,KI001_1,Office Visit,A visit with a primary care physician to evaluate your knee pain and determine the best course of treatment,Office ,P,71946,M25.569
LD001,LD001_1,Office Visit,A visit with a primary care physician to evaluate your symptoms and determine the best course of treatment,Office ,P,88.81,A69.20 
LI001,LI001_1,Office Visit with Specialist for Evaluation,A visit with an eye doctor for a general medical evaluation and detailed eye exam ,Outpatient,P,36616,H25.10
LI001,LI001_2,Cataract Removal and Insertion of Lens,The removal of a cataract and insertion of a special lens in the eye,Outpatient,F,36616,H25.10
LI002,LI002_1,Office Visit with Specialist for Evaluation,A visit with an eye doctor for a general medical evaluation and detailed eye exam ,Office ,P,36511,H40.11X0 
LI002,LI002_2,Drain insertion for Glaucoma,The surgical insertion of a drain in the eye to decrease eye pressure,Outpatient,F,36511,H40.11X0 
LI002,LI002_3,Follow-up Office Visit,A checkup after your procedure,Office ,P,36511,H40.11X0 
LT001,LT001_1,Office Visit,A visit with a primary care physician to evaluate your thyroid and determine the best course of treatment,Office ,P,244.9,E03.9
LW001,LW001_1,Thyroid-Stimulating Hormone Test - TSH,A test to check the amount of thyroid-stimulating hormone in your blood,Laboratory,F,,
LW002,LW002_1,Complete Blood Count - CBC Test,"A routine test to check the level of red blood cells, white blood cells, and other parts of the blood",Laboratory,F,,
LW003,LW003_1,Comprehensive Metabolic Panel Test,"A routine blood test used to look for diabetes, liver or kidney disease, or other problems",Laboratory,F,,
LW004,LW004_1,Hemoglobin A1c Test,A1c is a blood test used to diagnose or check for diabetes,Laboratory,F,,
LW005,LW005_1,Cholesterol Test,A blood test used to check cholesterol and triglyceride levels,Laboratory,F,,
LW006,LW006_1,Urinalysis - Urine Test, A routine urine test done to look for signs of infection or disease,Laboratory,F,,
LW007,LW007_1,Vitamin D Test,A blood test to check the blood level of vitamin D,Laboratory,F,,
LW008,LW008_1,Bacterial Culture - Other Source Test,"A test to check for the presence of bacteria in a discharge or body fluid (other than urine, blood or stool)",Laboratory,F,,
LW009,LW009_1,Bacterial Culture - Urine Test,"A test to check for bacteria in the urine, a sign of a urinary tract infection",Laboratory,F,,
LW010,LW010_1,Basic Metabolic Panel Test,"A routine blood test used to look for diabetes, kidney disease, or other problems with metabolism",Laboratory,F,,
LW011,LW011_1,General Health Panel Test,A routine group of blood tests to check your overall health and disease management,Laboratory,F,,
LW012,LW012_1,Gonorrhea Test,A test that checks for the presence of the bacteria that causes gonorrhea,Laboratory,F,,
LW013,LW013_1,Liver Panel Test,A group of blood tests that measure how well your liver is working,Laboratory,F,,
LW014,LW014_1,Prostate-Specific Antigen - PSA Test,A blood test used to screen for prostate cancer or to monitor the course of the disease,Laboratory,F,,
LW015,LW015_1,Chlamydia Test,A test that checks for the presence of the bacteria that causes chlamydia,Laboratory,F,,
LW016,LW016_1,Human Papillomavirus - HPV Test,A test that checks for the presence of the virus that causes HPV infection  ,Laboratory,F,,
LW017,LW017_1,Thyroid Hormone Test - Thyroxine - T4,A test that checks the blood level of a hormone made by the thyroid gland,Laboratory,F,,
LW018,LW018_1,PT Blood Test,A test that checks how long it takes your blood to clot,Laboratory,F,,
LW019,LW019_1,Pap Smear Test,A test that checks for abnormal changes in cells taken from the cervix,Laboratory,F,,
LW020,LW020_1,Creatine Kinase Test,"A test that checks the blood level of an enzyme found in muscles, including the heart",Laboratory,F,,
LW021,LW021_1,Urine Pregnancy Test,"A test that measures the level of a hormone in the urine, which rises during pregnancy ",Laboratory,F,,
LW023,LW023_1,Blood in Stool Test,This test checks to see if there is any hidden blood in the stool (feces),Laboratory,F,,
LW024,LW024_1,C-Reactive Protein - CRP Test,This test checks the level of C-reactive Protein (CRP) in your blood ,Laboratory,F,,
LW025,LW025_1,Creatinine Test,This test checks the level of creatinine in your blood ,Laboratory,F,,
LW026,LW026_1,Liver Enzyme Study - GGT Test,This test checks the level of gamma glutamyltransferase (GGT) in your blood ,Laboratory,F,,
LW027,LW027_1,Fasting Blood Glucose Test,This test checks the level of glucose (sugar) in your blood after you have been fasting for at least 6 hours ,Laboratory,F,,
LW028,LW028_1,Screening Culture Test,This test checks for the presence of bacteria in a body fluid,Laboratory,F,,
LW029,LW029_1,Strep Throat Test,"This test checks for the presence of a specific bacteria, Group A Streptococcus, in the throat (Strep Throat)",Laboratory,F,,
LW030,LW030_1,Hematocrit Test,This test checks the red blood cells in your blood ,Laboratory,F,,
LW031,LW031_1,Hemoglobin Test,This test checks the amount of hemoglobin (a protein that carries oxygen) in your blood ,Laboratory,F,,
LW032,LW032_1,Influenza Test,This test checks for the presence of the influenza virus  ,Laboratory,F,,
LW033,LW033_1,Lactate Dehydrogenase - LDH Test,This test checks the level of lactate dehydrogenase (LDH) in your blood ,Laboratory,F,,
LW034,LW034_1,Sed Rate - ESR Test,This measures how fast red blood cells fall to the bottom of a glass tube; the faster the cells fall the more inflammation is present in the body,Laboratory,F,,
LW035,LW035_1,Tuberculosis - TB Test,This test is used to determine if you have been infected with tuberculosis,Laboratory,F,,
LW036,LW036_1,Thyroid Hormone Test - Triiodothyronine - T3,This test checks the blood levels of a protein that carries the thyroid hormone in your blood,Laboratory,F,,
LW037,LW037_1,Uric Acid Test,This test checks the amount of uric acid in your blood ,Laboratory,F,,
LW038,LW038_1,Urine Test,"This test checks for abnormal levels of substances in the urine, such as bacteria, blood, and protein ",Laboratory,F,,
LW039,LW039_1,Urine Microalbumin Test,This test checks for small quantities of albumin (a protein) in your urine,Laboratory,F,,
LW040,LW040_1,Mononucleosis Test,This test checks for heterophile antibodies in your blood to determine if you have mononucleosis ,Laboratory,F,75,B27.90 
LY001,LY001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary tract symptoms,Office ,P,592,N20.0
LY001,LY001_2,Lithotripsy,A procedure that uses shock waves to break up large stones in the urinary tract so they can pass out of the body in the urine,Outpatient,F,592,N20.0
LY001,LY001_3,Office Visit with Specialist for Evaluation,A doctor checkup after your procedure,Office ,P,592,N20.0
LY002,LY002_1,Office Visit,A visit with a primary care physician to evaluate your kidney pain and determine the best course of treatment,Office ,P,592,N20.0
LY002,LY002_2,X-ray Abdomen,An image of the structures in your upper abdomen made using a small dose of radiation,Radiology,F,592,N20.0
MG001,MG001_1,Office Visit,A visit with a primary care physician to evaluate your headaches and determine the best course of treatment.,Office ,P,346.9,G43.909
MH001,MH001_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a mental health specialist for evaluation and developing a treatment plan,Behavioral,P,,
MH001,MH001_2,5 Follow-up Office Visits,A follow up visit to evaluate your symptoms and treatment plan,Behavioral,P,,
MH002,MH002_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a psychologist for evaluation and developing a treatment plan,Behavioral,P,,
MH002,MH002_2,5 Follow-up Office Visits,A follow up visit with a psychologist to evaluate your symptoms and treatment plan,Behavioral,P,,
MH003,MH003_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a psychiatrist for evaluation and developing a treatment plan,Behavioral,P,,
MH003,MH003_2,5 Follow-up Office Visits,A follow up visit with a psychiatrist to evaluate your symptoms and treatment plan,Behavioral,P,,
MH004,MH004_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a mental health specialist for evaluation and developing a treatment plan,Behavioral,P,,
MH004,MH004_2,5 Follow-up Office Visits,A follow up visit to evaluate your symptoms and treatment plan,Behavioral,P,,
MH005,MH005_1,Inpatient Mental Health Treatment - 5 days,Inpatient treatment for a mental health disorder,Inpatient,F,,
MH006,MH006_1,Inpatient Substance Use Treatment - 5 days,Inpatient treatment for substance use,Inpatient,F,,
MH007,MH007_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a mental health specialist for evaluation and developing a treatment plan,Behavioral,P,,
MH007,MH007_2,5 Follow-up Office Visits,A follow up visit to evaluate your symptoms and treatment plan,Behavioral,P,,
MH008,MH008_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a psychologist for evaluation and developing a treatment plan,Behavioral,P,,
MH008,MH008_2,5 Follow-up Office Visits,A follow up visit with a psychologist to evaluate your symptoms and treatment plan,Behavioral,P,,
MH009,MH009_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a psychiatrist for evaluation and developing a treatment plan,Behavioral,P,,
MH009,MH009_2,5 Follow-up Office Visits,A follow up visit with a psychiatrist to evaluate your symptoms and treatment plan,Behavioral,P,,
MH010,MH010_1,1 Initial Office Visit with Specialist for Evaluation,A visit with a mental health specialist for evaluation and developing a treatment plan,Behavioral,P,,
MH010,MH010_2,5 Follow-up Office Visits,A follow up visit to evaluate your symptoms and treatment plan,Behavioral,P,,
MO001,MO001_1,Office Visit,Two visits with a primary care physician to evaluate your mono symptoms and determine the best course of treatment ,Office ,P,75,B27.90 
MP001,MP001_1,Office Visit,Two visits with a primary care physician to evaluate your testosterone level and determine the best course of treatment,Office ,P,604.9,N45.3
MR001,MR001_1,MRI Scan With and Without Dye - Brain,"An imaging process that uses magnets to create detailed pictures of your brain, both before and after you receive a contrast (dye) that helps highlight brain structures",Radiology,F,,
MR002,MR002_1,MRI Scan Without Dye - Knee,An imaging process that uses magnets to create detailed pictures of structures in your knee,Radiology,F,,
MR003,MR003_1,MRI Scan Without Dye - Lumbar Spine,An imaging process that uses magnets to create detailed pictures of your lower spine,Radiology,F,,
MR004,MR004_1,MRI Scan Without Dye - Brain,An imaging process that uses magnets to create detailed pictures of your brain,Radiology,F,,
MR005,MR005_1,MRI Scan Without Dye - Upper Extremity  - Arm,An imaging process that uses magnets to create detailed pictures of structures in your arm,Radiology,F,,
MR006,MR006_1,MRI Scan Without and With Dye - Lumbar Spine,"An imaging process that uses magnets to create detailed pictures of your lower spine, both before and after you receive a contrast (dye) that helps highlight spine structures",Radiology,F,,
MR007,MR007_1,MRI Scan Without Dye - Cervical Spine,An imaging process that uses magnets to create detailed pictures of structures in your neck,Radiology,F,,
MR008,MR008_1,MRI Scan Without and With Dye - Abdomen,"An imaging process that uses magnets to create detailed pictures of your abdomen, both before and after you receive a contrast (dye) that helps highlight abdominal tissues and organs",Radiology,F,,
MR009,MR009_1,MRI Scan Without Dye - Ankle,An imaging process that uses magnets to create detailed pictures of structures in your ankle,Radiology,F,,
MR010,MR010_1,MRI Scan Without and With Dye - Both Breasts,"An imaging process that uses magnets to create detailed pictures of your breasts, both before and after you receive a contrast (dye) that helps highlight the breasts structures",Radiology,F,,
MR011,MR011_1,MRI Scan Without Dye - Upper Extremity  - Elbow,An imaging process that uses magnets to create detailed pictures of structures in your elbow,Radiology,F,,
MR012,MR012_1,MRI Scan Without and With Dye - Face,"An imaging process that uses magnets to create detailed pictures of your face, both before and after you receive a contrast (dye) that helps highlight facial structures",Radiology,F,,
MR013,MR013_1,MRI Scan Without Dye - Foot,An imaging process that uses magnets to create detailed pictures of structures in your foot,Radiology,F,,
MR014,MR014_1,MRI Scan Without and With Dye - Heart,"An imaging process that uses magnets to create detailed pictures of your heart, both before and after you receive a contrast (dye) that helps highlight the hearts structures",Radiology,F,,
MR015,MR015_1,MRI Scan Without Dye - Hip,An imaging process that uses magnets to create detailed pictures of structures in your hip,Radiology,F,,
MR016,MR016_1,MRI Scan Without and With Dye - Hip,"An imaging process that uses magnets to create detailed pictures of your hip, both before and after you receive a contrast (dye) that helps highlight the hips structures",Radiology,F,,
MR017,MR017_1,MRI Scan - Jaw,An imaging process that uses magnets to create detailed pictures of structures in your jaw,Radiology,F,,
MR018,MR018_1,MRI Scan Without Dye - Leg,An imaging process that uses magnets to create detailed pictures of structures in your neck,Radiology,F,,
MR019,MR019_1,MRI Scan Without Dye - Pelvis,An imaging process that uses magnets to create detailed pictures of structures in your pelvis,Radiology,F,,
MR020,MR020_1,MRI Scan Without and With Dye - Pelvis,"An imaging process that uses magnets to create detailed pictures of your pelvis, both before and after you receive a contrast (dye) that helps highlight the pelvis structures",Radiology,F,,
MR021,MR021_1,MRI Scan Without Dye - Wrist,An imaging process that uses magnets to create detailed pictures of structures in your wrist,Radiology,F,,
MR022,MR022_1,MRI Scan Without and With Dye - Chest,An imaging process that uses magnets to create detailed pictures of structures in your chest,Radiology,F,,
MR023,MR023_1,MRI Scan Without Dye - Shoulder,An imaging process that uses magnets to create detailed pictures of structures in your shoulder,Radiology,F,,
MR0424,MR024_1,MRI Scan Without and With Dye - Breast  Unilateral,An imaging process that uses magnets to create detailed pictures of structures in your breast,Radiology,F,,
MR025,MR025_1,MR Angiography Without Dye - Head,,Radiology,F,,
MR026,MR026_1,MR Angiography Without and With Dye - Head,,Radiology,F,,
MR027,MR027_1,MR Angiography Without Dye - Neck,,Radiology,F,,
MR028,MR028_1,MR Angiography Without and With Dye - Neck,,Radiology,F,,
MR029,MR029_1,MR Angiography - Chest,,Radiology,F,,
MR030,MR030_1,MR Angiography - Abdomen,,Radiology,F,,
MR031,MR031_1,MRI Scan Without Dye - Abdomen,An imaging process that uses magnets to create detailed pictures of your abdomen,Radiology,F,,
MS001,MS001_1,Office Visit,Two visits with your primary care physician for a detailed evaluation and treatment of your multiple sclerosis,Office ,P,340,G35
MS001,MS001_2,MRI Scan With and Without Dye - Brain,"An imaging process that uses magnets to create detailed pictures of your brain, both before and after you receive a contrast (dye) that helps highlight brain structures",Radiology,F,340,G35
NC001,NC001_1,Nerve Conduction Studies ,Special tests that measure how fast and how well electrical signals travel along a nerve,Office ,P,,
OS001,OS001_1,Office Visit,A visit with a primary care physician to evaluate your cold sore and determine the best course of treatment,Office ,P,54.9,B00.9 
OV001,OV001_1,Office Visit - Primary Doctor - New Patient - Minimal Complexity,An office visit with a new healthcare provider for minor or self-limited symptoms,Office ,P,,
OV002,OV002_1,Office Visit - Primary Doctor - New Patient - Low Complexity,An office visit with a new healthcare provider for mild to moderate symptoms,Office ,P,,
OV003,OV003_1,Office Visit - Primary Doctor - New Patient - Moderate Complexity,An office visit with a new healthcare provider for moderate symptoms,Office ,P,,
OV004,OV004_1,Office Visit - Primary Doctor - New Patient - Moderate to High Complexity,An office visit with a new healthcare provider for moderate to severe symptoms,Office ,P,,
OV005,OV005_1,Office Visit - Primary Doctor - New Patient - High Complexity,An office visit with a new healthcare provider for moderate to severe symptoms,Office ,P,,
OV006,OV006_1,Office Visit - Primary Doctor - Established Patient - Minimal Complexity,An office visit with your regular healthcare provider for minimal symptoms,Office ,P,,
OV007,OV007_1,Office Visit - Primary Doctor - Established Patient - Low Complexity,An office visit with your regular healthcare provider for minor or self-limited symptoms,Office ,P,,
OV008,OV008_1,Office Visit - Primary Doctor - Established Patient - Moderate Complexity,An office visit with your regular healthcare provider for mild to moderate symptoms,Office ,P,,
OV009,OV009_1,Office Visit - Primary Doctor - Established Patient - Moderate to High Complexity,An office visit with your regular healthcare provider for moderate to severe symptoms,Office ,P,,
OV010,OV010_1,Office Visit - Primary Doctor - Established Patient - High Complexity,An office visit with your regular healthcare provider for moderate to severe symptoms,Office ,P,,
OV011,OV011_1,Office Visit - Specialist - Minimal Complexity,An office visit with a healthcare provider you were referred to for minor or self-limited symptoms,Office ,P,,
OV012,OV012_1,Office Visit - Specialist - Low Complexity,An office visit with a healthcare provider you were referred to for mild symptoms,Office ,P,,
OV013,OV013_1,Office Visit - Specialist - Moderate Complexity,An office visit with a healthcare provider you were referred to for moderate symptoms,Office ,P,,
OV014,OV014_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV015,OV015_1,Office Visit - Specialist - High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV016,OV016_1,Wellness Visit - Established Female Patient - Age 12-17,This is a routine office visit (including screenings and immunizations) with your child's regular healthcare provider when they are a female 12-17 years of age ,Office ,P,,
OV017,OV017_1,Wellness Visit - Established Female Patient - Age 18-39,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a female 18-39 years of age ,Office ,P,,
OV018,OV018_1,Wellness Visit - Established Female Patient - Age 40-64,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a female 40-64 years of age ,Office ,P,,
OV019,OV019_1,Wellness Visit - Established Patient - Age 5-11,This is a routine office visit (including screenings and immunizations) with your child's regular healthcare provider when they are 5-11 years of age ,Office ,P,,
OV020,OV020_1,Wellness Visit - Established Female Patient - Age >65,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a female >65 years of age ,Office ,P,,
OV021,OV021_1,Wellness Visit - Established Patient - Age Less Than 1,This is a routine office visit (including screenings and immunizations) with your child's regular healthcare provider when they are < 1 year of age ,Office ,P,,
OV022,OV022_1,Wellness Visit - Established Patient - Age 1-4,This is a routine office visit (including screenings and immunizations) with your child's regular healthcare provider when they are 1-4 years of age ,Office ,P,,
OV023,OV023_1,Wellness Visit - New Patient - Age Less Than 1,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when your child is <1 year of age ,Office ,P,,
OV024,OV024_1,Wellness Visit - New Female Patient - Age 12-17,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when your child is a female 12-17 years of age ,Office ,P,,
OV025,OV025_1,Wellness Visit - New Patient - Age 1-4,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when your child is 1-4 years of age ,Office ,P,,
OV026,OV026_1,Wellness Visit - New Female Patient - Age 18-39,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a female 18-39 years of age ,Office ,P,,
OV027,OV027_1,Wellness Visit - New Female Patient - Age 40-64,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a female 40-64 years of age ,Office ,P,,
OV028,OV028_1,Wellness Visit - New Patient - Age 5-11,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when your child is 5-11 years of age ,Office ,P,,
OV029,OV029_1,Wellness Visit - New Female Patient - Age >65,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a female >65 years of age ,Office ,P,,
OV030,OV030_1,Wellness Visit - Established Male Patient - Age 12-17,This is a routine office visit (including screenings and immunizations) with your child's regular healthcare provider when they are a male 12-17 years of age ,Office ,P,,
OV031,OV031_1,Wellness Visit - Established Male Patient - Age 18-39,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a male 18-39 years of age ,Office ,P,,
OV032,OV032_1,Wellness Visit - Established Male Patient - Age 40-64,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a male 40-64 years of age ,Office ,P,,
OV033,OV033_1,Wellness Visit - New Male Patient - Age 12-17,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when your child is a male 12-17 years of age ,Office ,P,,
OV034,OV034_1,Wellness Visit - New Male Patient - Age 18-39,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a male 18-39 years of age ,Office ,P,,
OV035,OV035_1,Wellness Visit - New Male Patient - Age 40-64,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a male 40-64 years of age ,Office ,P,,
OV036,OV036_1,Wellness Visit - Established Male Patient - Age >65,This is a routine office visit (including screenings and immunizations) with your regular healthcare provider when you are a male > 65 years of age. ,Office ,P,,
OV037,OV037_1,Wellness Visit - New Male Patient - Age >65,This is a routine office visit (including screenings and immunizations) with a new healthcare provider when you are a male > 65 years of age. ,Office ,P,,
OV038,OV038_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV039,OV039_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV040,OV040_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV041,OV041_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV042,OV042_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV043,OV043_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV044,OV044_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV045,OV045_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV046,OV046_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV047,OV047_1,Office Visit with Dietician,A visit with a specialist for a nutrition evaluation and diet recommendations,Office ,P,,
OV048,OV048_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV049,OV049_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV050,OV050_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV051,OV051_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV052,OV052_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
OV053,OV053_1,Office Visit - Specialist - Moderate to High Complexity,An office visit with a healthcare provider you were referred to for moderate to severe symptoms,Office ,P,,
PE001,PE001_1,Office Visit,A visit with a primary care physician to evaluate your eye symptoms and determine the best course of treatment.,Office ,P,372.3,H10.9
PH001,PH001_1,Office Visit,A visit with a primary care physician to evaluate your urinary symptoms and determine the best course of treatment.,Office ,P,600.01,N40.1
PH001,PH001_2,Labwork,Labwork ordered by your primary care physician,Laboratory,F,600.01,N40.1
PH002,PH002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your urinary tract symptoms,Office ,P,600.01,N40.1
PH002,PH002_2,Removal of Prostate Through Urethra,The removal of the prostate gland using special instruments inserted into the urethra ,Outpatient,F,600.01,N40.1
PH002,PH002_3,Office Visit with Specialist for Evaluation,Two doctor checkups after your procedure,Office ,P,600.01,N40.1
PP001,PP001_1,Office Visit,Two visits with a primary care physician to evaluate your psoriasis and determine the best course of treatment,Office ,P,696.1,L40.9
PT001,PT001_1,Physical Therapy - Massage and Traction,Hands-on treatments to relax muscles and improve the mobility of joints and soft tissue,Physical Therapy,P,,
PT002,PT002_1,Physical Therapy - Exercises,"Exercises to help increase strength, endurance, range of motion, and flexibility",Physical Therapy,P,,
PT003,PT003_1,Physical Therapy - Nerve and Muscle Retraining,"Exercises to improve movement, balance, coordination, and posture by retraining the muscles and nerves",Physical Therapy,P,,
PT004,PT004_1,Physical Therapy - Functional Activities,"The use of everyday actions such as lifting, pulling, and bending to improve daily functioning",Physical Therapy,P,,
RA001,RA001_1,Office Visit,Two visits with your primary care physician to evaluate your rheumatoid arthritis and determine the best course of treatment,Clinic,P,714,M05.40
RA002,RA002_1,Office Visit,Two visits with your primary care physician to evaluate your arthritis and determine the best course of treatment,Clinic,P,716.96,M12.9 
RD001,RD001_1,Office Visit with Specialist for Evaluation and Treatment,"A visit with an eye doctor for a general medical evaluation, detailed eye exam, and repair of a detached retina",Clinic,P,361.01,H33.019
RD001,RD001_2,Office Visit with Specialist for Evaluation,Follow up detailed exams of the back of the eye using an ophthalmoscope,Clinic,P,361.01,H33.019
RT001,RT001_1,Radiation Treatment Delivery - Low Intensity,The use of high-energy rays to kill cancer cells in a specific area of the body,Radiology,F,,
